#{"t_start": 1642219136.7131505, "env_id": "KinovaSpoon-v2"}
r,l,t,is_success
81.0,50,356.58023,1.0
84.0,50,357.697119,1.0
80.0,50,358.828893,0.0
84.0,50,359.947193,1.0
84.0,50,361.065453,1.0
80.0,50,362.183845,0.0
83.0,50,363.314062,1.0
82.0,50,364.434625,1.0
81.0,50,365.552986,1.0
81.0,50,366.671328,1.0
82.0,50,367.803921,1.0
83.0,50,368.92223,1.0
82.0,50,370.040614,1.0
85.0,50,371.172523,1.0
83.0,50,372.294037,1.0
85.0,50,373.409015,1.0
84.0,50,374.527368,1.0
85.0,50,375.659811,1.0
82.0,50,376.777908,1.0
83.0,50,377.896106,1.0
85.0,50,379.014776,1.0
82.0,50,380.147444,1.0
83.0,50,381.265358,1.0
84.0,50,382.383633,1.0
81.0,50,383.502609,1.0
81.0,50,384.634701,1.0
81.0,50,385.752881,1.0
81.0,50,386.87081,1.0
85.0,50,387.989804,1.0
84.0,50,389.122192,1.0
84.0,50,390.24007,1.0
85.0,50,391.35862,1.0
85.0,50,392.476742,1.0
81.0,50,393.60892,1.0
84.0,50,394.727349,1.0
81.0,50,395.845655,1.0
81.0,50,396.977808,1.0
84.0,50,398.095989,1.0
81.0,50,399.21454,1.0
81.0,50,400.333135,1.0
82.0,50,401.465268,1.0
81.0,50,402.583426,1.0
84.0,50,403.702116,1.0
83.0,50,404.820281,1.0
81.0,50,405.95254,1.0
85.0,50,407.070888,1.0
81.0,50,408.189366,1.0
17.0,17,408.772902,0.0
84.0,50,409.891293,1.0
82.0,50,411.023504,1.0
81.0,50,412.14171,1.0
82.0,50,413.262038,1.0
82.0,50,414.379409,1.0
84.0,50,415.511335,1.0
82.0,50,416.629695,1.0
83.0,50,417.74763,1.0
82.0,50,418.880015,1.0
82.0,50,419.998208,1.0
82.0,50,421.116448,1.0
85.0,50,422.234876,1.0
84.0,50,423.358423,1.0
82.0,50,424.485947,1.0
80.0,50,425.604354,0.0
85.0,50,426.722797,1.0
80.0,50,427.854526,0.0
84.0,50,428.972945,1.0
84.0,50,430.091396,1.0
83.0,50,431.209645,1.0
84.0,50,432.341827,1.0
84.0,50,433.460244,1.0
84.0,50,434.57877,1.0
82.0,50,435.697033,1.0
81.0,50,436.829202,1.0
85.0,50,437.947261,1.0
85.0,50,439.066042,1.0
81.0,50,440.198248,1.0
82.0,50,441.316625,1.0
83.0,50,442.434734,1.0
70.0,44,443.553751,0.0
86.0,50,444.685811,1.0
82.0,50,445.804283,1.0
85.0,50,446.925529,1.0
85.0,50,448.040675,1.0
83.0,50,449.173176,1.0
83.0,50,450.29148,1.0
84.0,50,451.410072,1.0
83.0,50,452.542095,1.0
85.0,50,453.660761,1.0
82.0,50,454.779135,1.0
